timestamp,activity
2003-12-04 09:00:00,0.0
2003-12-04 09:01:00,240.0
2003-12-04 09:02:00,152.0
2003-12-04 09:03:00,86.0
2003-12-04 09:04:00,121.0
2003-12-04 09:05:00,142.0
2003-12-04 09:06:00,142.0
2003-12-04 09:07:00,550.0
2003-12-04 09:08:00,586.0
2003-12-04 09:09:00,1183.0
2003-12-04 09:10:00,758.0
2003-12-04 09:11:00,1010.0
2003-12-04 09:12:00,624.0
2003-12-04 09:13:00,384.0
2003-12-04 09:14:00,808.0
2003-12-04 09:15:00,348.0
2003-12-04 09:16:00,216.0
2003-12-04 09:17:00,104.0
2003-12-04 09:18:00,163.0
2003-12-04 09:19:00,97.0
2003-12-04 09:20:00,348.0
2003-12-04 09:21:00,195.0
2003-12-04 09:22:00,304.0
2003-12-04 09:23:00,550.0
2003-12-04 09:24:00,189.0
2003-12-04 09:25:00,10.0
2003-12-04 09:26:00,758.0
2003-12-04 09:27:00,50.0
2003-12-04 09:28:00,80.0
2003-12-04 09:29:00,209.0
2003-12-04 09:30:00,116.0
2003-12-04 09:31:00,168.0
2003-12-04 09:32:00,116.0
2003-12-04 09:33:00,223.0
2003-12-04 09:34:00,189.0
2003-12-04 09:35:00,189.0
2003-12-04 09:36:00,372.0
2003-12-04 09:37:00,93.0
2003-12-04 09:38:00,195.0
2003-12-04 09:39:00,50.0
2003-12-04 09:40:00,107.0
2003-12-04 09:41:00,175.0
2003-12-04 09:42:00,97.0
2003-12-04 09:43:00,16.0
2003-12-04 09:44:00,240.0
2003-12-04 09:45:00,336.0
2003-12-04 09:46:00,249.0
2003-12-04 09:47:00,467.0
2003-12-04 09:48:00,451.0
2003-12-04 09:49:00,808.0
2003-12-04 09:50:00,294.0
2003-12-04 09:51:00,438.0
2003-12-04 09:52:00,688.0
2003-12-04 09:53:00,467.0
2003-12-04 09:54:00,711.0
2003-12-04 09:55:00,861.0
2003-12-04 09:56:00,550.0
2003-12-04 09:57:00,1342.0
2003-12-04 09:58:00,410.0
2003-12-04 09:59:00,758.0
2003-12-04 10:00:00,424.0
2003-12-04 10:01:00,372.0
2003-12-04 10:02:00,249.0
2003-12-04 10:03:00,45.0
2003-12-04 10:04:00,979.0
2003-12-04 10:05:00,979.0
2003-12-04 10:06:00,861.0
2003-12-04 10:07:00,1183.0
2003-12-04 10:08:00,533.0
2003-12-04 10:09:00,284.0
2003-12-04 10:10:00,12.0
2003-12-04 10:11:00,17.0
2003-12-04 10:12:00,24.0
2003-12-04 10:13:00,83.0
2003-12-04 10:14:00,83.0
2003-12-04 10:15:00,47.0
2003-12-04 10:16:00,14.0
2003-12-04 10:17:00,3.0
2003-12-04 10:18:00,223.0
2003-12-04 10:19:00,40.0
2003-12-04 10:20:00,19.0
2003-12-04 10:21:00,83.0
2003-12-04 10:22:00,711.0
2003-12-04 10:23:00,1010.0
2003-12-04 10:24:00,624.0
2003-12-04 10:25:00,1010.0
2003-12-04 10:26:00,567.0
2003-12-04 10:27:00,1301.0
2003-12-04 10:28:00,1430.0
2003-12-04 10:29:00,1010.0
2003-12-04 10:30:00,1076.0
2003-12-04 10:31:00,325.0
2003-12-04 10:32:00,360.0
2003-12-04 10:33:00,182.0
2003-12-04 10:34:00,195.0
2003-12-04 10:35:00,348.0
2003-12-04 10:36:00,315.0
2003-12-04 10:37:00,121.0
2003-12-04 10:38:00,22.0
2003-12-04 10:39:00,50.0
2003-12-04 10:40:00,758.0
2003-12-04 10:41:00,533.0
2003-12-04 10:42:00,624.0
2003-12-04 10:43:00,567.0
2003-12-04 10:44:00,142.0
2003-12-04 10:45:00,223.0
2003-12-04 10:46:00,33.0
2003-12-04 10:47:00,10.0
2003-12-04 10:48:00,3.0
2003-12-04 10:49:00,104.0
2003-12-04 10:50:00,36.0
2003-12-04 10:51:00,86.0
2003-12-04 10:52:00,107.0
2003-12-04 10:53:00,55.0
2003-12-04 10:54:00,62.0
2003-12-04 10:55:00,168.0
2003-12-04 10:56:00,182.0
2003-12-04 10:57:00,189.0
